City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,tilichiki,60.4667,166.1,-23.3,93,25,8.72,RU,1675725473
84,cumpas,29.9833,-109.7833,69.85,16,63,17.63,MX,1675725819
85,kutum,14.2,24.6667,62.26,18,49,9.17,SD,1675725819
86,dalbandin,28.8947,64.4101,54.03,28,3,6.55,PK,1675725820
87,klaksvik,62.2266,-6.589,41.92,69,100,29.95,FO,1675725593
88,pisco,-13.7,-76.2167,77.05,83,0,18.41,PE,1675725328
89,atar,20.5169,-13.0499,63.05,26,0,8.93,MR,1675725820
90,mabopane,-25.4977,28.1007,67.01,60,39,12.01,ZA,1675725821
91,hobyo,5.3505,48.5268,76.23,79,60,17.0,SO,1675725821
92,aksarka,66.5606,67.7975,-16.24,100,98,1.79,RU,1675725821
93,sungaipenuh,-2.0833,101.3833,63.39,85,93,1.48,ID,1675725822
94,porbandar,21.6422,69.6093,67.77,79,19,9.37,IN,1675725822
95,chifeng,42.2683,118.9636,19.71,45,99,2.8,CN,1675725822
96,port alfred,-33.5906,26.891,72.18,93,100,1.01,ZA,1675725345
97,kodiak,57.79,-152.4072,36.91,60,0,9.22,US,1675725164
98,parana,-31.732,-60.5238,90.55,35,2,2.57,AR,1675725823
99,mianwali,32.5741,71.5264,54.0,59,0,4.74,PK,1675725823
100,belyy yar,53.6039,91.3903,-13.11,84,40,2.24,RU,1675725636
101,mudgee,-32.5943,149.5871,75.61,50,10,9.06,AU,1675725740
102,ambon,-3.6954,128.1814,80.74,83,40,10.36,ID,1675725824
103,moose jaw,50.4001,-105.5344,30.47,69,20,20.71,CA,1675725725
104,najran,17.4924,44.1277,65.05,63,72,6.13,SA,1675725543
105,santa marta,11.2408,-74.199,77.95,82,5,18.16,CO,1675725670
106,muzhi,65.3667,64.6667,-13.36,98,50,3.4,RU,1675725825
107,agua dulce,18.1333,-94.1333,73.18,84,27,11.1,MX,1675725825
108,meulaboh,4.1363,96.1285,74.53,82,98,2.17,ID,1675725408
109,tiarei,-17.5333,-149.3333,80.62,74,33,13.69,PF,1675725826
110,alghero,40.5589,8.3181,44.69,87,40,6.91,IT,1675725826
111,san cristobal,7.7669,-72.225,77.18,65,63,2.66,VE,1675725548
112,riverton,40.5219,-111.9391,38.77,75,100,11.5,US,1675725826
113,bredasdorp,-34.5322,20.0403,69.21,93,68,2.95,ZA,1675725417
114,pevek,69.7008,170.3133,-33.41,100,100,3.69,RU,1675725460
115,kruisfontein,-34.0033,24.7314,69.37,92,79,6.15,ZA,1675725351
116,santa cruz,-17.8,-63.1667,82.45,65,75,11.5,BO,1675725827
117,sibu,2.3,111.8167,73.71,100,40,3.44,MY,1675725827
118,synya,65.3718,58.0387,-7.65,100,92,5.48,RU,1675725828
119,la rioja,42.25,-2.5,22.78,84,5,2.68,ES,1675725828
120,la ronge,55.1001,-105.2842,16.05,62,75,17.27,CA,1675725418
121,martapura,-3.4167,114.85,75.29,94,20,3.44,ID,1675725829
122,port elizabeth,-33.918,25.5701,74.1,97,75,5.01,ZA,1675725374
123,post falls,47.718,-116.9516,43.77,81,100,9.22,US,1675725597
124,bubaque,11.2833,-15.8333,76.3,64,4,22.01,GW,1675725500
125,russell,32.3502,-85.1999,65.8,39,0,0.0,US,1675725255
126,carutapera,-1.195,-46.02,76.19,94,99,6.2,BR,1675725448
127,paita,-5.0892,-81.1144,77.83,73,39,13.6,PE,1675725830
128,ileza,61.0533,43.9002,-7.37,100,100,3.85,RU,1675725830
129,bilma,18.6853,12.9164,64.13,17,20,8.41,NE,1675725831
130,lannion,48.75,-3.4167,39.67,90,4,7.72,FR,1675725831
131,ust-tsilma,65.441,52.1498,-13.02,100,90,4.18,RU,1675725832
132,bathsheba,13.2167,-59.5167,79.41,69,20,17.27,BB,1675725613
133,lebu,-37.6167,-73.65,59.88,79,0,19.51,CL,1675725490
134,saint anthony,45.0205,-93.218,36.25,84,100,10.36,US,1675725494
135,severo-kurilsk,50.6789,156.125,23.9,77,100,27.4,RU,1675725427
136,dukstas,55.5333,26.3333,25.43,97,89,5.77,LT,1675725832
137,pedernales,18.0384,-71.744,77.36,73,43,9.33,DO,1675725833
138,crossville,35.949,-85.0269,55.31,38,0,0.0,US,1675725665
139,kirakira,-10.4544,161.9205,82.33,81,100,10.74,SB,1675725833
140,isangel,-19.55,169.2667,87.91,84,75,2.3,VU,1675725539
141,bo phloi,14.3236,99.5161,76.12,77,52,2.62,TH,1675725834
142,hokitika,-42.7167,170.9667,63.25,68,99,4.76,NZ,1675725834
143,esperance,-33.8667,121.9,68.58,86,6,17.67,AU,1675725430
144,caravelas,-17.7125,-39.2481,78.04,81,0,9.08,BR,1675725427
145,harper,4.375,-7.7169,79.9,80,100,10.29,LR,1675725835
146,saskylakh,71.9167,114.0833,-30.62,100,97,2.73,RU,1675725398
147,ossora,59.2353,163.0719,-13.36,90,100,4.81,RU,1675725835
148,bosaso,11.2842,49.1816,73.26,77,72,3.15,SO,1675725836
149,raga,8.4596,25.678,74.8,15,14,5.48,SS,1675725836
150,carndonagh,55.25,-7.2667,46.26,86,100,9.19,IE,1675725836
151,zonguldak,41.25,31.8333,30.06,98,100,6.71,TR,1675725837
152,ixtapa,20.7,-105.2,74.43,78,0,9.22,MX,1675725837
153,aberdeen,57.1437,-2.0981,41.2,91,82,5.75,GB,1675725682
154,novoagansk,61.9449,76.6625,1.54,98,100,2.59,RU,1675725838
155,kahului,20.8947,-156.47,81.97,67,40,25.32,US,1675725552
156,nema,57.5067,50.5011,-12.35,100,100,4.14,RU,1675725839
157,havoysund,70.9963,24.6622,41.23,94,100,35.37,NO,1675725839
158,marzuq,14.4,46.4667,62.11,34,33,5.23,YE,1675725616
159,linxia,35.6003,103.2064,29.39,45,100,0.85,CN,1675725840
160,dzhebariki-khaya,62.2167,135.8,-39.93,100,100,0.94,RU,1675725840
161,fort dodge,42.4975,-94.168,39.02,87,100,0.0,US,1675725783
162,stornoway,58.2093,-6.3865,48.16,94,75,24.16,GB,1675725615
163,paraisopolis,-22.5542,-45.78,67.17,93,71,3.78,BR,1675725841
164,verkhniy baskunchak,48.2256,46.7217,17.28,85,100,16.28,RU,1675725841
165,svetlaya,46.5389,138.3297,8.2,73,1,5.68,RU,1675725842
166,durham,36.0335,-78.8664,54.27,53,3,5.3,US,1675725842
167,racine,42.7495,-88.0751,38.01,80,0,12.66,US,1675725383
168,vesyegonsk,58.664,37.2604,3.45,98,83,3.6,RU,1675725843
169,sayhat,26.4852,50.0405,66.42,67,43,12.35,SA,1675725830
170,hamilton,39.1834,-84.5333,46.24,58,0,9.22,US,1675725645
171,kunda,25.7167,81.5167,56.8,58,0,2.21,IN,1675725843
172,castro,-24.7911,-50.0119,68.23,64,58,2.48,BR,1675725505
173,lorengau,-2.0226,147.2712,77.09,94,100,10.83,PG,1675725324
174,puerto escondido,15.85,-97.0667,81.43,65,75,0.0,MX,1675725844
175,bintulu,3.1667,113.0333,72.01,94,40,3.44,MY,1675725845
176,rauma,61.1272,21.5113,33.84,89,100,9.13,FI,1675725845
177,yar-sale,66.8333,70.8333,-7.51,99,92,5.7,RU,1675725510
178,zeya,53.75,127.2667,-26.37,86,10,5.39,RU,1675725730
179,kilifarevo,42.9833,25.6333,26.22,100,100,5.75,BG,1675725846
180,pimampiro,0.4,-77.9667,65.26,70,76,5.77,EC,1675725846
181,verkhnyaya inta,65.9811,60.3094,-1.32,98,99,6.96,RU,1675725511
182,lakes entrance,-37.8811,147.981,64.17,67,14,6.29,AU,1675725847
183,sur,22.5667,59.5289,70.05,62,60,3.18,OM,1675725532
184,baykit,61.67,96.37,-18.38,100,96,2.48,RU,1675725847
185,san patricio,28.017,-97.5169,76.17,67,24,18.5,US,1675725337
186,paamiut,61.994,-49.6678,9.73,92,100,5.23,GL,1675725848
187,atuona,-9.8,-139.0333,78.51,76,14,12.57,PF,1675725304
188,abu samrah,35.3029,37.1841,42.89,80,76,25.97,SY,1675725848
189,belmonte,-15.8631,-38.8828,78.84,83,0,9.66,BR,1675725476
190,biltine,14.5333,20.9167,72.73,14,90,10.83,TD,1675725849
191,axim,4.8699,-2.2405,79.32,87,89,11.12,GH,1675725849
192,college,64.8569,-147.8028,10.09,88,75,0.0,US,1675725382
193,tabou,4.423,-7.3528,79.66,82,100,9.78,CI,1675725659
194,thompson,55.7435,-97.8558,8.76,78,75,12.66,CA,1675725436
195,saint george,37.1041,-113.5841,52.39,36,75,10.0,US,1675725332
196,kavieng,-2.5744,150.7967,82.58,78,97,9.4,PG,1675725383
197,norman wells,65.282,-126.8329,-6.45,94,100,0.92,CA,1675725197
198,tambun,-6.2641,107.0712,83.48,69,99,3.94,ID,1675725850
199,bhinmal,25.0,72.25,60.96,80,0,0.6,IN,1675725851
200,kansanshi,-12.0951,26.4273,59.81,98,100,4.47,ZM,1675725851
201,husavik,66.0449,-17.3389,29.53,62,66,22.84,IS,1675725166
202,bethel,41.3712,-73.414,42.46,68,20,10.36,US,1675725499
203,labuhan,-6.8844,112.2051,76.46,85,100,7.78,ID,1675725852
204,beringovskiy,63.05,179.3167,-16.62,92,96,8.66,RU,1675725322
205,charters towers,-20.1,146.2667,82.2,68,71,11.9,AU,1675725655
206,zakamensk,50.3741,103.2863,-9.81,100,60,3.58,RU,1675725852
207,lavrentiya,65.5833,-171.0,-13.32,88,100,4.27,RU,1675725516
208,broome,42.2506,-75.833,31.68,79,100,9.22,US,1675725673
209,biak,-0.9131,122.8766,77.14,79,100,2.8,ID,1675725853
210,taoudenni,22.6783,-3.9836,67.17,20,100,6.82,ML,1675725664
211,rocha,-34.4833,-54.3333,69.78,91,3,5.17,UY,1675725207
212,ovalle,-30.5983,-71.2003,79.68,49,0,6.64,CL,1675725854
213,upata,8.0086,-62.3989,77.2,56,60,7.07,VE,1675725854
214,shache,38.4167,77.2406,29.3,62,100,4.52,CN,1675725855
215,aklavik,68.2191,-135.0107,-29.2,68,40,2.3,CA,1675725582
216,catamarca,-28.4696,-65.7852,89.78,34,9,5.99,AR,1675725855
217,makakilo city,21.3469,-158.0858,82.72,60,20,17.27,US,1675725574
218,sitka,57.0531,-135.33,40.89,75,75,6.91,US,1675725300
219,kushiro,42.975,144.3747,20.35,79,40,5.75,JP,1675725856
220,ordu,40.9086,37.6845,27.1,98,100,10.4,TR,1675725856
221,iqaluit,63.7506,-68.5145,-25.87,68,40,12.66,CA,1675725511
222,wuzhou,23.4833,111.3167,61.77,96,100,2.57,CN,1675725857
223,nunkini,20.3333,-90.1833,80.69,55,80,3.27,MX,1675725857
224,leningradskiy,69.3833,178.4167,-25.53,96,99,8.12,RU,1675725326
225,redcar,54.6166,-1.06,40.53,65,72,5.99,GB,1675725858
226,constitucion,-35.3333,-72.4167,65.17,70,22,12.62,CL,1675725441
227,talnakh,69.4865,88.3972,-7.8,98,100,5.57,RU,1675725441
228,katsuura,35.1333,140.3,50.45,67,100,7.54,JP,1675725510
229,cap-haitien,19.7578,-72.2042,77.41,76,0,7.34,HT,1675725858
230,vardo,70.3705,31.1107,33.78,86,100,29.93,NO,1675725332
231,mezen,65.8522,44.24,1.63,98,90,6.96,RU,1675725859
232,kununurra,-15.7667,128.7333,80.58,74,72,0.0,AU,1675725859
233,beroroha,-21.6667,45.1667,73.8,85,100,2.86,MG,1675725859
234,oytal,42.9057,73.2697,30.56,87,100,4.14,KZ,1675725860
235,khandyga,62.6667,135.6,-41.08,100,100,0.72,RU,1675725860
236,adrar,20.5022,-10.0711,62.2,24,36,9.37,MR,1675725505
237,avarua,-21.2078,-159.775,84.25,79,20,11.5,CK,1675725333
238,san quintin,30.4833,-115.95,59.59,64,9,22.75,MX,1675725514
239,sovetskiy,61.3614,63.5842,-15.57,100,99,3.89,RU,1675725861
240,kloulklubed,7.0419,134.2556,75.7,74,100,19.93,PW,1675725861
241,ginir,7.1333,40.7,57.25,24,17,3.04,ET,1675725862
242,svetlogorsk,52.6333,29.7333,26.37,97,100,5.99,BY,1675725862
